CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude
366,100060001202500366,202500366,2025-06-08,64,17.286317350330357,76.80526638351888
367,100030001202500367,202500367,2025-03-26,31,15.393476272237134,75.15732275080423
368,100060001202400368,202400368,2024-01-23,64,17.335762728500082,76.80292094443867
369,100040001202500369,202500369,2025-11-19,42,12.883709682324495,74.84814757476805
370,100060001202300370,202300370,2023-01-22,61,17.36586158544791,76.81268239437429
371,100010001202300371,202300371,2023-02-12,12,12.936770708723964,77.64279219145882
372,100080001202300372,202300372,2023-08-01,83,15.16622594954528,76.94769988512182
373,100010001202400373,202400373,2024-06-24,14,13.003113010607608,77.61147239020569
374,100060001202600374,202600374,2026-02-02,63,17.28991309206023,76.82981883816956
375,100050001202300375,202300375,2023-11-02,55,15.840906053302444,74.50022549618842
376,100080001202600376,202600376,2026-05-18,83,15.154976418066484,76.91127816601569
377,100040001202400377,202400377,2024-06-09,41,12.939309839064924,74.88531696702236
378,100050001202500378,202500378,2025-09-15,54,15.892792842796784,74.52852599209058
379,100040001202600379,202600379,2026-04-17,42,12.875091319142902,74.83068505845688
380,100060001202400380,202400380,2024-06-10,65,17.304442720683443,76.82041043649917
381,100050001202300381,202300381,2023-06-04,51,15.841254378685896,74.47544465967617
382,100070001202400382,202400382,2024-04-30,71,14.50267706809541,75.94481199128336
383,100060001202300383,202300383,2023-10-26,61,17.320724876116184,76.80294240984617
384,100080001202300384,202300384,2023-08-08,85,15.134294590145062,76.92293616768666
385,100050001202600385,202600385,2026-04-13,51,15.830918344548072,74.5164371014358
386,100030001202500386,202500386,2025-05-26,31,15.364412865815735,75.14575709242376
387,100050001202600387,202600387,2026-03-06,54,15.883053248615555,74.49596737443218
388,100020001202400388,202400388,2024-12-28,23,12.246522644087424,76.64351910215878
389,100070001202300389,202300389,2023-10-01,74,14.44407466093612,75.96871544872552
390,100040001202600390,202600390,2026-03-17,45,12.887301461005942,74.81620855869353
391,100030001202500391,202500391,2025-05-11,31,15.384888471470004,75.13694123966695
392,100080001202500392,202500392,2025-02-11,85,15.169095914904856,76.96610680966153
393,100030001202600393,202600393,2026-03-23,31,15.368139693714808,75.12168399799897
394,100040001202300394,202300394,2023-03-14,44,12.911587536703538,74.84464072348423
395,100080001202600395,202600395,2026-05-05,83,15.12582793369532,76.89796917739876
396,100080001202500396,202500396,2025-05-31,84,15.15144635305807,76.96546268677125
397,100080001202400397,202400397,2024-12-21,81,15.167345607843776,76.88473816583162
398,100010001202400398,202400398,2024-11-21,12,12.941379368086883,77.62056203584362
399,100010001202300399,202300399,2023-09-01,13,13.00422870236374,77.6016237220777
400,100040001202400400,202400400,2024-01-31,41,12.889481308725216,74.8097384366338
401,100020001202600401,202600401,2026-03-01,21,12.274622199981224,76.655963363413
402,100070001202600402,202600402,2026-03-07,74,14.422642465253857,75.93465278480546
403,100040001202500403,202500403,2025-02-14,43,12.934559228356555,74.81707277935791
404,100040001202500404,202500404,2025-12-08,43,12.905829204923895,74.85315359245229
405,100060001202500405,202500405,2025-11-14,61,17.378450090609785,76.82388156927082
406,100080001202400406,202400406,2024-08-12,85,15.138610435100002,76.9153247504106
407,100060001202300407,202300407,2023-12-25,65,17.338497136029545,76.8757342881607
408,100050001202400408,202400408,2024-09-06,53,15.805448534994538,74.46281250754988
409,100070001202500409,202500409,2025-12-25,74,14.423070174621442,75.95337554558046
410,100050001202300410,202300410,2023-05-10,54,15.87279061638687,74.53473871842725
411,100050001202400411,202400411,2024-07-20,52,15.87623608372103,74.48918578046683
412,100060001202500412,202500412,2025-11-13,65,17.370586676460203,76.83397109143606
413,100060001202300413,202300413,2023-08-03,61,17.296895627419833,76.85307007218601
414,100060001202500414,202500414,2025-02-16,63,17.362418029191375,76.83764864252339
415,100070001202500415,202500415,2025-03-10,74,14.432160428665474,75.95244555009889
416,100080001202500416,202500416,2025-04-23,85,15.156360492588474,76.87464464934835
417,100060001202500417,202500417,2025-10-30,62,17.356085192849,76.81505597854759
418,100060001202300418,202300418,2023-05-12,64,17.351978952981423,76.85442022446354
419,100020001202600419,202600419,2026-01-02,22,12.283866368590605,76.6641869681081
420,100040001202400420,202400420,2024-02-08,41,12.94290813262701,74.80915115062217
421,100030001202400421,202400421,2024-11-26,33,15.390526170240134,75.17050204361162
422,100050001202400422,202400422,2024-07-05,52,15.863085706846997,74.54139370483246
423,100010001202300423,202300423,2023-09-12,15,13.003278731682425,77.58052743975976
424,100030001202600424,202600424,2026-05-18,35,15.39795156477274,75.15515557476151
425,100010001202300425,202300425,2023-06-22,11,12.9467318935357,77.63085715856639
426,100010001202500426,202500426,2025-09-06,14,12.969630296014056,77.57396521083135
427,100050001202300427,202300427,2023-02-07,55,15.868850886890849,74.53496183313919
428,100010001202300428,202300428,2023-03-16,14,12.953030552434486,77.59680639324745
429,100020001202300429,202300429,2023-04-20,25,12.310133820652595,76.67569466775275
430,100060001202400430,202400430,2024-04-06,61,17.324660203543274,76.86183307999104
431,100040001202400431,202400431,2024-11-07,45,12.88365570890795,74.83570870849172
432,100010001202500432,202500432,2025-08-02,15,12.935213011100783,77.612523668955
433,100030001202300433,202300433,2023-01-10,31,15.326893507697504,75.10646391025959
434,100060001202600434,202600434,2026-07-16,62,17.34389027811415,76.85699219995213
435,100040001202500435,202500435,2025-04-27,44,12.871904054224103,74.87652257946796
436,100080001202500436,202500436,2025-10-30,83,15.100457319698307,76.90951042889905
437,100040001202400437,202400437,2024-02-04,44,12.961352794815632,74.82388678332691
438,100030001202600438,202600438,2026-06-12,34,15.399440053952992,75.07835253868654
439,100020001202300439,202300439,2023-08-16,23,12.262722714370351,76.64526230858549
440,100020001202600440,202600440,2026-06-18,21,12.259808884372037,76.6563070889747
441,100030001202300441,202300441,2023-10-02,34,15.411023628882532,75.08160725263883
442,100010001202300442,202300442,2023-01-22,14,13.0143656007986,77.6344198652425
443,100080001202500443,202500443,2025-10-02,82,15.09718709082443,76.88998316525172
444,100060001202400444,202400444,2024-05-11,62,17.3783148839936,76.86352676876068
445,100080001202300445,202300445,2023-06-04,85,15.107338872267931,76.90965903736245
446,100080001202400446,202400446,2024-05-05,83,15.14977056686192,76.89983831544443
447,100060001202400447,202400447,2024-02-14,62,17.337817324178644,76.8583685681291
448,100030001202500448,202500448,2025-11-03,33,15.333990645342864,75.11406171079688
449,100040001202500449,202500449,2025-07-18,45,12.8840395157625,74.81033805597984
450,100020001202500450,202500450,2025-08-06,21,12.250213891479005,76.6336560670237
451,100060001202500451,202500451,2025-11-11,63,17.334952864850933,76.86236799171945
452,100070001202500452,202500452,2025-10-28,74,14.47138767652565,75.90357607312409
453,100020001202400453,202400453,2024-06-15,25,12.339293880056188,76.62084861743362
454,100080001202500454,202500454,2025-01-07,85,15.184177420279388,76.88935573427335
455,100030001202400455,202400455,2024-07-22,34,15.353531263921091,75.08918358230004
456,100060001202600456,202600456,2026-01-21,63,17.360103774684816,76.84217573475928
457,100030001202400457,202400457,2024-05-23,32,15.334556225237613,75.16315588669191
458,100080001202500458,202500458,2025-04-27,81,15.110918551461848,76.91245192263032
459,100080001202300459,202300459,2023-08-13,84,15.113029244123457,76.879169571338
460,100020001202500460,202500460,2025-05-15,24,12.294387271051876,76.60458240808336
461,100010001202400461,202400461,2024-04-13,13,12.952952653811789,77.64318697243027
462,100010001202300462,202300462,2023-11-08,11,12.945778427611176,77.6000470831422
463,100080001202300463,202300463,2023-10-24,84,15.13593316979307,76.96448211429184
464,100040001202400464,202400464,2024-06-12,43,12.908415401081529,74.82068838049287
465,100020001202400465,202400465,2024-06-01,25,12.256746561492571,76.63611773185401
466,100050001202600466,202600466,2026-04-27,51,15.800246027801018,74.53177710846384
467,100010001202300467,202300467,2023-07-06,14,12.97574542998724,77.57733238488343
468,100040001202300468,202300468,2023-05-30,45,12.884358475860964,74.85217677162936
469,100080001202500469,202500469,2025-08-24,85,15.097922720240296,76.95326004587156
470,100080001202300470,202300470,2023-09-27,84,15.176268425253523,76.89741141404238
471,100040001202300471,202300471,2023-09-13,41,12.867915661407457,74.87927976708815
472,100060001202400472,202400472,2024-06-26,61,17.340914577500655,76.79210913163836
473,100080001202500473,202500473,2025-10-28,83,15.098959396334102,76.92982135056396
474,100030001202300474,202300474,2023-12-28,32,15.322198127429887,75.1082093027999
475,100060001202300475,202300475,2023-11-02,64,17.292946558696563,76.87548046536138
476,100080001202400476,202400476,2024-08-11,82,15.113846739728066,76.95155174452105
477,100030001202400477,202400477,2024-05-21,32,15.324718891815046,75.16635527474027
478,100020001202300478,202300478,2023-03-08,24,12.338825039167684,76.59514087181189
479,100040001202600479,202600479,2026-01-19,45,12.927774021401436,74.89834624759541
480,100020001202300480,202300480,2023-07-06,21,12.250811623776716,76.64252136536555
481,100050001202500481,202500481,2025-09-08,55,15.84524675637318,74.49635576652949
482,100060001202600482,202600482,2026-06-28,64,17.370849216460496,76.87164226729209
483,100080001202300483,202300483,2023-06-24,84,15.158278954964112,76.93899220356963
484,100030001202400484,202400484,2024-04-06,31,15.392390812348676,75.15502005847986
485,100030001202400485,202400485,2024-10-18,35,15.356065595301486,75.13976642190144
486,100010001202500486,202500486,2025-03-28,12,12.939451300787756,77.62203767419106
487,100050001202300487,202300487,2023-01-01,55,15.82288651926712,74.53207029742755
488,100050001202400488,202400488,2024-09-03,51,15.865872718791517,74.48977755399528
489,100070001202300489,202300489,2023-11-25,71,14.505492585357866,75.89486346257961
490,100030001202300490,202300490,2023-04-23,33,15.355911140359964,75.07671451092111
491,100040001202400491,202400491,2024-02-23,45,12.884988521385909,74.80956793964283
492,100050001202300492,202300492,2023-07-22,54,15.885294037013429,74.47538483563865
493,100010001202500493,202500493,2025-03-01,15,12.94852114154484,77.621001917857
494,100080001202400494,202400494,2024-01-30,83,15.147895649545283,76.93751000456606
495,100050001202500495,202500495,2025-12-01,51,15.823931700069377,74.53777923610141
496,100010001202500496,202500496,2025-06-05,15,12.996415145380936,77.60265590779925
497,100010001202300497,202300497,2023-04-26,15,12.94010304584508,77.57031655771341
498,100060001202600498,202600498,2026-01-08,61,17.319241524620043,76.83712509428037
499,100060001202400499,202400499,2024-06-16,63,17.284709773698587,76.85530159379965
500,100040001202400500,202400500,2024-08-02,42,12.95202726077512,74.82257188529098
